"","SampleID","Part","AnalysedRegionArea","AnalysedRegionWidth","AnalysedRegionHeight","Length","ProjArea","SurfArea","AvgDiam","LenPerVol","RootVolume.cm3.","Tips","Forks","Crossings","NofNodules","NumberOfClasses","L0_0.5","L0.5_1.0","L1.0_1.5","L1.5_2.0","L2.0_2.5","L2.5_3.0","L3.0_3.5","L3.5_4.0","L4.0_4.5","L_4.5","SA0_0.5","SA0.5_1.0","SA1.0_1.5","SA1.5_2.0","SA2.0_2.5","SA2.5_3.0","SA3.0_3.5","SA3.5_4.0","SA4.0_4.5","SA4.5","PA0_0.5","PA0.5_1.0","PA1.0_1.5","PA1.5_2.0","PA2.0_2.5","PA2.5_3.0","PA3.0_3.5","PA3.5_4.0","PA4.0_4.5","PA4.5","V0_0.5","V0.5_1.0","V1.0_1.5","V1.5_2.0","V2.0_2.5","V2.5_3.0","V3.0_3.5","V3.5_4.0","V4.0_4.5","V.4.5","T0_0.5","T0.5_1.0","T1.0_1.5","T1.5_2.0","T2.0_2.5","T2.5_3.0","T3.0_3.5","T3.5_4.0","T4.0_4.5","T4.5","GT","TMT","rep"
"21",56,1,1224.0589,40.6717,30.0961,4003.8958,172.4918,541.8989,0.4308,4003.8958,5.836,15419,30885,5536,0,10,3084.2285,622.321,162.6125,79.8431,36.4726,9.0842,4.4197,1.8108,0.677,0.8228,184.2566,133.8716,62.1391,43.0986,25.2065,7.7329,4.4732,2.1723,0.8951,1.3296,58.6507,42.6126,19.7795,13.7187,8.0235,2.4615,1.4239,0.6915,0.2849,0.4232,1.1555,2.3857,1.9147,1.8646,1.392,0.525,0.3609,0.2075,0.0943,0.1728,15004,276,89,22,20,4,3,0,0,0,"PI535413","Mi",2
"22",57,1,1224.0589,40.6717,30.0961,5771.052,262.6249,825.0606,0.4551,5771.052,9.387,17233,55161,9688,0,10,4315.8376,975.6059,289.5968,112.4477,43.9388,13.0323,5.8845,4.0508,1.82,5.8776,268.5884,209.724,110.4453,60.457,30.6318,11.1345,5.9284,4.6996,2.4399,11.3509,85.4943,66.7572,35.1558,19.2441,9.7504,3.5442,1.8871,1.4959,0.7766,3.6131,1.7699,3.7404,3.3944,2.6053,1.7071,0.759,0.4762,0.4346,0.2608,1.8163,16865,229,85,33,14,5,0,0,0,2,"PI535413","Mi",3
"23",58,1,1224.0589,40.6717,30.0961,5059.1097,224.0144,703.762,0.4428,5059.1097,7.791,18988,36748,6288,0,10,3826.1969,862.7407,225.657,91.239,36.4132,7.9042,3.0003,2.0586,0,1.947,242.6766,189.0261,84.6369,48.4149,25.2411,6.7363,3.0766,2.3842,0,4.3332,77.2464,60.1689,26.9408,15.4109,8.0345,2.1442,0.9793,0.7589,0,1.3793,1.6001,3.4285,2.5628,2.0586,1.3978,0.458,0.2514,0.2201,0,0.8248,18653,258,45,22,3,4,1,0,0,0,"PI535447","Mi",1
"24",59,1,1224.0589,40.6717,30.0961,8407.661,430.603,1352.7794,0.5122,8407.661,17.321,20359,65714,10603,0,10,5933.8925,1705.8246,472.0887,165.4417,65.2823,27.0331,15.9144,7.2326,3.4174,8.5765,404.2681,374.0225,177.8393,88.8518,45.7081,23.2674,16.0738,8.4682,4.5323,15.4625,128.6825,119.0551,56.608,28.2824,14.5493,7.4062,5.1164,2.6955,1.4427,4.9219,2.7663,6.8116,5.4027,3.8251,2.5581,1.5972,1.2947,0.7902,0.4791,2.3563,19598,531,140,55,18,7,4,2,0,4,"PI535447","Mi",2
"25",60,1,1224.0589,40.6717,30.0961,7228.6212,367.7375,1155.2816,0.5087,7228.6212,14.693,19081,67967,10448,0,10,5034.9816,1478.8912,424.5552,180.578,56.5105,24.823,11.0142,7.2864,2.2175,4.6026,336.3531,324.0549,161.6957,96.6209,39.4938,21.1894,11.1631,8.4962,2.8323,8.6609,107.0645,103.1499,51.4693,30.7554,12.5713,6.7448,3.5533,2.7044,0.9015,2.7568,2.2925,5.8856,4.9625,4.1433,2.2061,1.4433,0.9024,0.7893,0.2878,1.3631,18720,262,76,17,3,2,1,0,0,0,"PI535447","Mi",3
"26",61,1,1224.0589,40.6717,30.0961,8847.3358,650.7192,2044.2946,0.7355,8847.3358,37.589,22334,93658,10543,0,10,5172.02,2148.188,698.8252,364.769,173.5051,93.0729,59.1068,43.6391,23.4994,67.4931,349.9736,477.3322,265.6967,197.5555,122.0164,80.1252,59.8217,51.0073,30.9831,133.1601,111.4001,151.9396,84.5739,62.8839,38.839,25.5046,19.0419,16.2361,9.8622,42.3862,2.4647,8.79,8.1414,8.5757,6.8572,5.5023,4.8283,4.7514,3.2551,22.6718,21578,547,129,43,17,7,9,3,1,0,"PI313250","Mi",1
"27",67,1,1224.0589,40.6717,30.0961,8635.5958,556.2346,1747.4625,0.6441,8635.5958,28.139,29365,92358,12568,0,10,5882.9254,1584.0925,542.9203,269.065,135.2597,69.6576,38.8171,29.0463,16.7726,60.7084,356.913,348.9056,207.0684,145.5492,95.0096,59.735,39.4358,34.0602,22.2987,142.3156,113.6089,111.0601,65.9119,46.3297,30.2425,19.0142,12.5528,10.8417,7.0979,45.3005,2.3379,6.3783,6.3632,6.3112,5.3329,4.0861,3.1948,3.1827,2.3619,29.6167,28719,427,108,70,24,9,3,1,2,2,"PI281999","Mi",1
"28",68,1,1224.0589,40.6717,30.0961,8548.8393,512.7088,1610.7223,0.5997,8548.8393,24.15,28043,101562,14580,0,10,5759.0674,1659.4514,558.6266,260.0408,136.9019,62.8532,39.1598,19.7186,14.4303,33.1245,361.5544,362.1806,213.3774,140.36,95.9704,54.0445,39.4128,23.3241,19.222,69.0324,115.0863,115.2857,67.9201,44.678,30.5483,17.2029,12.5455,7.4243,6.1186,21.9737,2.4183,6.5574,6.5713,6.0745,5.3758,3.7077,3.1629,2.1986,2.0402,13.0966,27210,563,158,68,30,7,4,2,1,0,"PI281999","Mi",2
"29",69,3,1499.2978,70.6671,55.6752,10418.9775,680.482,2137.7971,1.2909,10418.9775,34.992,41477,123172,16437,0,20,7173.6618,1831.62,569.7083,338.055,193.4973,98.61,62.6499,41.3102,26.7584,76.8467,439.0818,398.2604,217.2577,183.4696,136.2325,84.6283,63.1798,48.3887,35.2322,168.6168,139.7641,126.7702,69.1553,58.4003,43.3642,26.938,20.1108,15.4026,11.2147,53.6724,2.8806,7.1869,6.6775,7.9826,7.6638,5.7945,5.0798,4.5152,3.6956,34.0287,40032,942,254,146,68,23,10,2,0,0,"PI281999","Mi",3
"30",70,1,1224.0589,40.6717,30.0961,7661.8884,592.5024,1861.4013,0.7733,7661.8884,35.986,27098,77806,8153,0,10,4520.9766,1764.3984,617.2743,303.8492,158.1879,92.063,56.747,34.6877,26.6946,82.927,308.1833,390.9755,234.2177,163.9873,111.3763,79.2883,57.3391,40.7181,35.6051,167.2264,98.0978,124.4514,74.5538,52.1988,35.4522,25.2383,18.2516,12.961,11.3334,53.2298,2.1759,7.1935,7.1604,7.0934,6.2663,5.4472,4.6198,3.8087,3.7838,28.9043,26047,787,159,62,26,9,5,1,0,2,"PI136687","Mi",1
